Sale_ID,Region,Cookie_Variety,Total_Boxes_Purchased,Sales_Amount,Sale_Date,Customer_ID,Age_Group,Gender,Household_Income,Family_Size,Customer_City,Customer_State,Price_Per_Box,Loyalty_Program_Participation,Preferred_Sales_Channel,Preferred_Payment_Method,Satisfaction_Rating,Troop_ID,Troop_Size,Troop_Leader_Name,Channel_Type,Temperature,Weather_Conditions
1,South,Lemon-Ups,8,48,10/3/2024,1274,18-25,Female,<$50k,4,Dallas, TX,6,Yes,Booth,Mobile Payment,2,3352,8,Emily,Door-to-Door,69,Cloudy
2,Southeast,Thin Mints,6,36,4/6/2024,1249,36-45,Male,$50-100k,5,Coconut Grove, FL,6,No,Online,Credit Card,2,2413,10,Itali,Booth,58,Cloudy
3,Southeast,Tagalongs,9,54,1/30/2024,1091,36-45,Male,$100-150k,5,Alpharetta, GA,6,No,Online,Mobile Payment,1,20626,8,Nia,Online,60,Cloudy
4,Southeast,Samoas,1,6,1/11/2024,1195,26-35,Female,<$50k,3,Middleburg, FL,6,Yes,Booth,Mobile Payment,2,31115,14,Lila,Booth,58,Rainy
5,Southeast,Toast-Yay!,9,54,5/5/2024,1282,36-45,Female,$150-200k,3,Middleburg, FL,6,No,Booth,Mobile Payment,4,31115,13,Lila,Online,57,Sunny
6,Southeast,Lemonades,4,24,10/2/2024,1252,26-35,Female,<$50k,2,Matthews, NC,6,No,Booth,Credit Card,3,664,20,Scarlett,Door-to-Door,51,Rainy
7,Southeast,Toast-Yay!,3,18,1/19/2024,1016,18-25,Male,<$50k,6,Sullivan’s Island, SC,6,Yes,Door-to-Door,Cash,5,3613,17,Ivy,Door-to-Door,62,Sunny
8,Southeast,Trefoils,7,42,4/9/2024,1347,18-25,Female,$100-150k,4,Yulee, FL,6,Yes,Door-to-Door,Credit Card,5,71734,11,Aaliyah,Booth,55,Cloudy
9,Southeast,Adventurefuls,5,30,6/21/2024,1478,36-45,Female,<$50k,3,Atlanta, GA,6,Yes,Online,Cash,4,24299,19,Stasia,Door-to-Door,51,Rainy
10,Southeast,Thin Mints,8,48,6/4/2024,1058,46-55,Female,$50-100k,3,Jacksonville, FL,6,Yes,Door-to-Door,Mobile Payment,3,72011,15,Stella,Online,68,Sunny
11,Southeast,Trefoils,3,18,9/16/2024,1332,46-55,Male,$50-100k,3,Huntersville, NC,6,Yes,Booth,Credit Card,4,3491,12,Gabriella,Booth,70,Rainy
