Sale_ID,Region,Cookie_Variety,Total_Boxes_Purchased,Sales_Amount,Sale_Date,Customer_ID,Age_Group,Gender,Household_Income,Family_Size,Customer_City,Customer_State,Price_Per_Box,Loyalty_Program_Participation,Preferred_Sales_Channel,Preferred_Payment_Method,Satisfaction_Rating,Troop_ID,Troop_Size,Troop_Leader_Name,Channel_Type
1,South,Lemon-Ups,8,48,10/3/2024,1274,18-25,Female,<$50k,4,Dallas, TX,6,Yes,Booth,Mobile Payment,2,3352,8,Emily,Door-to-Door
2,Southeast,Thin Mints,6,36,4/6/2024,1249,36-45,Male,$50-100k,5,Coconut Grove, FL,6,No,Online,Credit Card,2,2413,10,Itali,Booth
3,Southeast,Tagalongs,9,54,1/30/2024,1091,36-45,Male,$100-150k,5,Alpharetta, GA,6,No,Online,Mobile Payment,1,20626,8,Nia,Online
4,Southeast,Samoas,1,6,1/11/2024,1195,26-35,Female,<$50k,3,Middleburg, FL,6,Yes,Booth,Mobile Payment,2,31115,14,Lila,Booth
5,Southeast,Toast-Yay!,9,54,5/5/2024,1282,36-45,Female,$150-200k,3,Middleburg, FL,6,No,Booth,Mobile Payment,4,31115,13,Lila,Online
6,Southeast,Lemonades,4,24,10/2/2024,1252,26-35,Female,<$50k,2,Matthews, NC,6,No,Booth,Credit Card,3,664,20,Scarlett,Door-to-Door
7,Southeast,Toast-Yay!,3,18,1/19/2024,1016,18-25,Male,<$50k,6,Sullivan’s Island, SC,6,Yes,Door-to-Door,Cash,5,3613,17,Ivy,Door-to-Door
8,Southeast,Trefoils,7,42,4/9/2024,1347,18-25,Female,$100-150k,4,Yulee, FL,6,Yes,Door-to-Door,Credit Card,5,71734,11,Aaliyah,Booth
9,Southeast,Adventurefuls,5,30,6/21/2024,1478,36-45,Female,<$50k,3,Atlanta, GA,6,Yes,Online,Cash,4,24299,19,Stasia,Door-to-Door
10,Southeast,Thin Mints,8,48,6/4/2024,1058,46-55,Female,$50-100k,3,Jacksonville, FL,6,Yes,Door-to-Door,Mobile Payment,3,72011,15,Stella,Online
11,Southeast,Trefoils,3,18,9/16/2024,1332,46-55,Male,$50-100k,3,Huntersville, NC,6,Yes,Booth,Credit Card,4,3491,12,Gabriella,Booth
12,Southeast,Tagalongs,7,42,3/17/2024,1478,36-45,Female,<$50k,3,Atlanta, GA,6,No,Booth,Credit Card,3,24299,19,Stasia,Booth
13,Northeast,Samoas,7,42,2/14/2024,1401,18-25,Male,$100-150k,2,Union City, NJ,6,Yes,Online,Mobile Payment,3,12201,17,Brooklyn,Door-to-Door
14,West,Do-si-dos,7,42,7/27/2024,1061,46-55,Male,$150-200k,6,Inglewood, CA,6,Yes,Booth,Mobile Payment,1,5071,11,Avery,Booth
15,Northeast,Samoas,9,54,7/31/2024,1042,26-35,Male,$100-150k,6,New York, NY,6,No,Booth,Cash,2,3990,12,Kennedy,Booth
16,Northeast,Lemon-Ups,6,36,6/16/2024,1087,36-45,Male,$50-100k,4,New York, NY,6,No,Online,Mobile Payment,4,3990,8,Kennedy,Door-to-Door
17,Midwest,Thin Mints,4,24,6/6/2024,1322,18-25,Male,$150-200k,4,Hilliard, OH,6,No,Door-to-Door,Mobile Payment,3,5957,9,Ella,Online
18,Northeast,Trefoils,4,24,8/2/2024,1042,26-35,Male,$100-150k,6,New York, NY,6,No,Online,Mobile Payment,2,3990,12,Kennedy,Online
19,Southeast,Thin Mints,8,48,6/10/2024,1216,46-55,Male,$50-100k,3,Pineville, NC,6,Yes,Online,Credit Card,5,2674,20,Piper,Online
20,Southeast,Thin Mints,3,18,5/29/2024,1012,46-55,Male,<$50k,4,Charlotte, NC,6,No,Online,Mobile Payment,2,41,14,Alexis,Booth
21,Southeast,Thin Mints,2,12,8/25/2024,1448,46-55,Female,$150-200k,6,Callahan, FL,6,No,Door-to-Door,Credit Card,4,63013,9,De'ana,Booth
22,West,Adventurefuls,2,12,8/30/2024,1254,46-55,Female,$150-200k,5,Scottsdale, AZ,6,No,Door-to-Door,Cash,3,128,13,Lydia,Booth
23,Southeast,Girl Scout S'mores,2,12,6/27/2024,1413,18-25,Male,$150-200k,5,Callahan, FL,6,Yes,Booth,Credit Card,5,63013,10,De'ana,Booth
24,Midwest,Toffee-tastic,4,24,10/6/2024,1198,18-25,Male,<$50k,4,Columbus, OH,6,No,Door-to-Door,Mobile Payment,3,6824,9,Isabella,Booth
25,West,Girl Scout S'mores,1,6,7/24/2024,1460,26-35,Male,$150-200k,2,Pasadena, CA,6,Yes,Online,Mobile Payment,1,4161,11,Eva,Booth
26,Southeast,Trefoils,2,12,1/31/2024,1018,18-25,Male,$100-150k,4,Morrisville, NC,6,No,Online,Cash,1,407,16,Eleanor,Booth
27,Northeast,Lemon-Ups,2,12,8/16/2024,1267,18-25,Male,$100-150k,2,Union City, NJ,6,Yes,Door-to-Door,Mobile Payment,2,12201,17,Brooklyn,Online
28,Southeast,Girl Scout S'mores,1,6,7/2/2024,1278,36-45,Female,$100-150k,3,Matthews, NC,6,Yes,Booth,Mobile Payment,1,664,8,Scarlett,Online
29,South,Samoas,7,42,8/14/2024,1185,46-55,Female,$50-100k,5,Yukon, OK,6,Yes,Online,Cash,2,358,13,Quinn,Booth
30,Northeast,Caramel Chocolate Chip,9,54,10/9/2024,1374,46-55,Female,$50-100k,6,Bronx, NY,6,No,Door-to-Door,Cash,3,1236,8,Sydney,Door-to-Door
31,South,Samoas,3,18,4/3/2024,1398,26-35,Female,$50-100k,6,Collierville, TN,6,No,Booth,Cash,4,13258,11,Ava,Door-to-Door
32,Northeast,Samoas,8,48,4/24/2024,1238,18-25,Female,$50-100k,3,Bethesda, MD,6,Yes,Booth,Cash,4,2059,14,Roxy,Booth
33,Northeast,Trefoils,4,24,7/28/2024,1234,46-55,Female,<$50k,5,Colonie, NY,6,Yes,Online,Cash,5,1014,15,Chloe,Door-to-Door
34,West,Samoas,2,12,6/24/2024,1263,18-25,Male,$100-150k,2,Scottsdale, AZ,6,No,Booth,Credit Card,3,128,13,Lydia,Online
35,South,Girl Scout S'mores,7,42,8/8/2024,1261,18-25,Male,$100-150k,2,Arlington, VA,6,Yes,Booth,Cash,2,60031,14,Essence,Online
36,Southeast,Tagalongs,7,42,5/17/2024,1472,18-25,Male,$100-150k,2,Mount Holly, NC,6,Yes,Booth,Mobile Payment,5,13400,8,Penelope,Door-to-Door
37,Southeast,Samoas,1,6,3/4/2024,1245,18-25,Male,$100-150k,4,Miami, FL,6,Yes,Door-to-Door,Mobile Payment,5,2417,10,Ruby,Booth
38,Northeast,Thin Mints,9,54,7/1/2024,1454,26-35,Female,$50-100k,3,Secaucus, NJ,6,No,Online,Mobile Payment,5,10289,17,Ivy,Online
39,Southeast,Do-si-dos,1,6,4/19/2024,1318,36-45,Female,$150-200k,6,Hialeah, FL,6,Yes,Booth,Cash,3,2564,10,Amelia,Online
40,Southeast,Thin Mints,5,30,3/2/2024,1014,46-55,Female,<$50k,4,Marietta, GA,6,Yes,Door-to-Door,Cash,1,17534,19,Aurora,Door-to-Door
41,Southeast,Thin Mints,9,54,1/27/2024,1465,26-35,Female,$100-150k,3,Mount Holly, NC,6,Yes,Online,Credit Card,4,13400,16,Penelope,Booth
42,South,Thin Mints,10,60,9/29/2024,1113,26-35,Female,<$50k,2,Moore, OK,6,Yes,Door-to-Door,Credit Card,1,3637,13,Audrey,Booth
43,Midwest,Thin Mints,2,12,4/27/2024,1003,46-55,Female,<$50k,4,Dublin, OH,6,No,Online,Cash,4,6086,9,Sophia,Door-to-Door
44,Northeast,Thin Mints,4,24,3/11/2024,1110,18-25,Female,$50-100k,2,Silver Spring, MD,6,No,Booth,Mobile Payment,4,42185,14,Jasmine,Door-to-Door
45,Southeast,Tagalongs,4,24,1/22/2024,1337,36-45,Male,$100-150k,2,St. Augustine, FL,6,Yes,Online,Cash,5,53021,12,Autumn,Door-to-Door
46,Midwest,Trefoils,1,6,2/18/2024,1105,18-25,Male,$150-200k,3,Powell, OH,6,No,Online,Credit Card,3,5169,9,Sadie,Online
47,Northeast,Tagalongs,9,54,4/28/2024,1151,26-35,Female,$150-200k,4,Washington, DC,6,Yes,Online,Cash,1,2612,14,Arabella,Door-to-Door
48,West,Lemon-Ups,4,24,4/29/2024,1372,26-35,Female,$50-100k,2,Paradise, NV,6,Yes,Online,Cash,1,396,20,Leah,Booth
49,Southeast,Trefoils,7,42,9/11/2024,1014,46-55,Female,<$50k,4,Marietta, GA,6,Yes,Door-to-Door,Mobile Payment,3,17534,19,Aurora,Online
50,Northeast,Samoas,1,6,1/15/2024,1193,36-45,Male,$50-100k,3,Staten Island, NY,6,Yes,Booth,Cash,1,75312,12,Reagan,Booth
51,South,Lemonades,10,60,8/15/2024,1281,18-25,Female,<$50k,4,Del City, OK,6,Yes,Booth,Mobile Payment,2,425,11,Olivia,Online
52,South,Girl Scout S'mores,4,24,1/17/2024,1387,18-25,Female,$150-200k,6,Falls Church, VA,6,No,Booth,Mobile Payment,1,4211,14,Lily,Online
53,Southeast,Tagalongs,7,42,9/2/2024,1139,46-55,Male,<$50k,6,Pineville, NC,6,Yes,Online,Mobile Payment,5,2674,19,Piper,Booth
54,South,Do-si-dos,5,30,9/23/2024,1398,26-35,Female,$50-100k,6,Collierville, TN,6,No,Door-to-Door,Credit Card,4,13258,11,Ava,Door-to-Door
55,Southeast,Trefoils,7,42,9/2/2024,1270,18-25,Male,$100-150k,3,Apex, NC,6,Yes,Door-to-Door,Mobile Payment,1,02584,16,Naima,Door-to-Door
56,Southeast,Lemonades,10,60,6/16/2024,1386,18-25,Male,<$50k,6,Yulee, FL,6,Yes,Door-to-Door,Credit Card,3,71734,9,Aaliyah,Online
57,West,Trefoils,3,18,3/9/2024,1254,46-55,Female,$150-200k,5,Scottsdale, AZ,6,No,Online,Cash,5,128,13,Lydia,Door-to-Door
58,South,Do-si-dos,9,54,8/20/2024,1438,36-45,Male,$100-150k,5,Collierville, TN,6,No,Door-to-Door,Credit Card,4,13258,11,Ava,Booth
59,Southeast,Do-si-dos,10,60,9/3/2024,1140,18-25,Female,$100-150k,4,Orange Park, FL,6,Yes,Booth,Credit Card,3,31008,8,Maya,Door-to-Door
60,Northeast,Tagalongs,6,36,1/23/2024,1329,26-35,Female,$150-200k,2,Hoboken, NJ,6,Yes,Booth,Credit Card,2,12019,17,Layla,Door-to-Door
